IDNr,Genus,Species,Cultivar,Dutch,English,From_where,Rootstock_species,Rootstock_source,Date_seeded,Date_grafted,Date_planted,Date_sold,Price,Size,Pot,Picture_filename,Comment,Customer,Long,Lat
21-0026,Actinidia,arguta,Ken’s Red,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0027,Actinidia,arguta,Ken’s Red,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,,20-60,x,,,,,
21-0028,Actinidia,arguta,Ken’s Red,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0029,Actinidia,arguta,Ken’s Red,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0030,Actinidia,arguta,Ken’s Red,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0031,Actinidia,arguta,Jumbo,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,x,,,,,
21-0032,Actinidia,arguta,Jumbo,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0033,Actinidia,arguta,Jumbo,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0034,Actinidia,arguta,Weiki M,Kiwibes,Hardy kiwiberry,Goran’s tuin,,,,,2021-01-23,,10,20-60,C3,,,,,
21-0035,Ribes,jostabes,,Jostabes,Jostaberry,Veenweide,,,,,2021-01-23,,10,10-30,C3,,,,,
21-0036,Ribes,jostabes,,Jostabes,Jostaberry,Veenweide,,,,,2021-01-23,2021-03-23,10,10-30,C3,,Aan ‘t Vaarderhoogt – demo,,,
21-0037,Citrus,trifoliata,,Driebladige citroen,Hardy orange,Marcel,,,,,2021-01-23,,20,10-30,C7,,,,,
